Victory Margin,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
0-7,3,3,0,1,0,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
8-14,1,0,1,0.5,0,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
