Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,13,8,5,3.5,2,3,0,0,0,0,0,0.0,0,0,1,Baron Browning
Behind,6,3,3,1,1,8,0,0,0,0,0,0.0,0,0,0,Baron Browning
Tied,5,3,2,0.5,1,1,0,0,0,1,-6,-6.0,0,-6,1,Baron Browning
