Group,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs AFC,0,0,0.0,0,0,1,-7,-7.0,0,-7,0,0,Jaleel McLaughlin
vs NFC,1,5,5.0,1,5,0,0,0.0,0,0,0,0,Jaleel McLaughlin
vs Div,0,0,0.0,0,0,1,-7,-7.0,0,-7,0,0,Jaleel McLaughlin
