Pt Diff,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
Behind,0,0,0.0,0,0,1,-7,-7.0,0,-7,0,0,Jaleel McLaughlin
Tied,1,5,5.0,1,5,0,0,0.0,0,0,0,0,Jaleel McLaughlin
