Opponent,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs OAK,0,0,0.0,0,0,1,-7,-7.0,0,-7,0,0,Jaleel McLaughlin
vs WAS,1,5,5.0,1,5,0,0,0.0,0,0,0,0,Jaleel McLaughlin
