Group,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs AFC,2,11,5.5,1,6,0,0,0.0,0,0,0,0,Lil'Jordan Humphrey
vs NFC,1,4,4.0,0,4,0,0,0.0,0,0,0,0,Lil'Jordan Humphrey
vs Div,2,11,5.5,1,6,0,0,0.0,0,0,0,0,Lil'Jordan Humphrey
