Group,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs AFC,0,0,0.0,0,0,1,3,3.0,0,3,0,0,Michael Burton
vs NFC,1,3,3.0,0,3,0,0,0.0,0,0,0,0,Michael Burton
vs Div,0,0,0.0,0,0,1,3,3.0,0,3,0,0,Michael Burton
