split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Tremon Smith
Away,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Tremon Smith
