Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs OAK,4,2,2,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Jonathan Harris
vs WAS,4,1,3,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Jonathan Harris
