Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,9,4,5,0,2,1,0,0,0,0,0,0.0,0,0,0,Jonathan Harris
vs NFC,4,1,3,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Jonathan Harris
vs Div,4,2,2,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Jonathan Harris
