Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Own 1-20,2,16,8.0,0,9,0,0,0.0,0,0,0,0,Tim Patrick
Own 21-50,27,363,13.4,0,31,0,0,0.0,0,0,0,0,Tim Patrick
Opp 49-20,20,317,15.9,3,44,0,0,0.0,0,0,0,0,Tim Patrick
Opp 19-Goal,4,38,9.5,2,16,0,0,0.0,0,0,0,0,Tim Patrick
