Close,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
"4th QTR, +/-7",3,53,17.7,0,29,0,0,0.0,0,0,0,0,Tim Patrick
Last 2 Min. Half,8,102,12.8,2,27,0,0,0.0,0,0,0,0,Tim Patrick
