split,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,53,734,13.8,5,44,0,0,0.0,0,0,0,0,Tim Patrick
Home,30,441,14.7,2,31,0,0,0.0,0,0,0,0,Tim Patrick
Away,23,293,12.7,3,44,0,0,0.0,0,0,0,0,Tim Patrick
