Season Games,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
1-8,30,424,14.1,3,31,0,0,0.0,0,0,0,0,Tim Patrick
9-16,23,310,13.5,2,44,0,0,0.0,0,0,0,0,Tim Patrick
