Field Position,PUNTS,AVG,LNG,YDS,TB,TB%,IN20,IN20%,ATT,YDS,AVG,NET,Player Name
Own 1-20,1,46.0,46,46,0,0.00,0,0.00,1,3,3.0,43.0,Riley Dixon
Own 21-50,7,46.9,61,328,0,0.00,2,28.57,3,31,10.3,42.4,Riley Dixon
Opp 49-20,2,37.0,43,74,0,0.00,2,100.00,1,5,5.0,34.5,Riley Dixon
