Pt Diff,PUNTS,AVG,LNG,YDS,TB,TB%,IN20,IN20%,ATT,YDS,AVG,NET,Player Name
Ahead,2,45.0,46,90,0,0.00,0,0.00,1,3,3.0,43.5,Riley Dixon
Behind,3,41.3,44,124,0,0.00,1,33.33,1,6,6.0,39.3,Riley Dixon
