Close,PUNTS,AVG,LNG,YDS,TB,TB%,IN20,IN20%,ATT,YDS,AVG,NET,Player Name
"4th QTR, +/-7",2,40.5,44,81,0,0.00,0,0.00,1,6,6.0,37.5,Riley Dixon
Last 2 Min. Half,1,44.0,44,44,0,0.00,0,0.00,0,0,0.0,44.0,Riley Dixon
