Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Own 1-20,1,6,6.0,0,6,0,0,0.0,0,0,0,0,Adam Trautman
Own 21-50,1,8,8.0,0,8,0,0,0.0,0,0,0,0,Adam Trautman
Opp 49-20,1,2,2.0,0,2,0,0,0.0,0,0,0,0,Adam Trautman
Opp 19-Goal,2,18,9.0,0,15,0,0,0.0,0,0,0,0,Adam Trautman
