Close,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
"4th QTR, +/-7",1,12,12.0,0,12,0,0,0.0,0,0,0,0,Samaje Perine
Last 2 Min. Half,0,0,0.0,0,0,5,32,6.4,0,10,0,0,Samaje Perine
