Pt Diff,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
Ahead,5,31,6.2,0,12,1,20,20.0,0,20,0,0,Samaje Perine
Behind,6,19,3.2,0,10,6,37,6.2,0,10,0,0,Samaje Perine
Tied,1,4,4.0,0,4,2,15,7.5,0,9,0,0,Samaje Perine
