Down,4,25,6.3,0,12,4,22,5.5,0,9,0,0,Player Name
2nd,2,5,2.5,0,4,2,15,7.5,0,10,0,0,Samaje Perine
3rd,3,15,5.0,0,10,1,20,20.0,0,20,0,0,Samaje Perine
Down,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Samaje Perine
