split,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,3,15,5.0,1,6,0,0,0.0,0,0,0,0,Lil'Jordan Humphrey
Home,3,15,5.0,1,6,0,0,0.0,0,0,0,0,Lil'Jordan Humphrey
