split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,3,3,0,1,1,4,0,0,0,0,0,0.0,0,0,0,Nik Bonitto
Home,3,3,0,1,1,4,0,0,0,0,0,0.0,0,0,0,Nik Bonitto
