Field Position,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Own 1-20,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Kareem Jackson
Own 21-50,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Kareem Jackson
Opp 49-20,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Kareem Jackson
Opp 19-Goal,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1,Kareem Jackson
