Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs MIA,7,4,3,0,0,0,0,0,0,0,0,0.0,0,0,0,Kareem Jackson
vs OAK,4,4,0,0,0,0,0,0,0,1,0,0.0,0,1,1,Kareem Jackson
vs WAS,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Kareem Jackson
