split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,13,10,3,0,0,0,0,0,0,1,0,0.0,0,1,1,Kareem Jackson
Home,6,6,0,0,0,0,0,0,0,1,0,0.0,0,1,1,Kareem Jackson
Away,7,4,3,0,0,0,0,0,0,0,0,0.0,0,0,0,Kareem Jackson
