Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,4,4,0,0,0,0,0,0,0,1,0,0.0,0,1,1,Kareem Jackson
vs NFC,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Kareem Jackson
vs Div,4,4,0,0,0,0,0,0,0,1,0,0.0,0,1,1,Kareem Jackson
