Close,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
"4th QTR, +/-7",3,1,2,0,1,-3,0,0,0,0,0,0.0,0,0,0,Zach Allen
Last 2 Min. Half,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Zach Allen
