Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs OAK,5,2,3,0,1.5,3,0,0,0,0,0,0.0,0,0,0,Zach Allen
vs WAS,2,0,2,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Zach Allen
