split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Frank Clark
Home,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Frank Clark
