Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Frank Clark
vs Div,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Frank Clark
