split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,44,30,14,1,0,1,0,0,0,1,0,0.0,0,1,7,K'Waun Williams
Home,25,15,10,0,0,1,0,0,0,0,0,0.0,0,0,3,K'Waun Williams
Away,19,15,4,1,0,0,0,0,0,1,0,0.0,0,1,4,K'Waun Williams
