Field Position,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Own 1-20,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
Own 21-50,15,10,5,0,0,0,0,0,0,1,0,0.0,0,0,1,K'Waun Williams
Opp 49-20,21,16,5,1,1,1,0,0,0,0,0,0.0,0,0,6,K'Waun Williams
Opp 19-Goal,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
