Outcome,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Wins/Ties,15,9,6,0,0,1,0,0,0,1,0,0.0,0,1,2,K'Waun Williams
Losses,29,21,8,1,0,0,0,0,0,0,0,0.0,0,0,5,K'Waun Williams
