Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,2,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Zach Allen
Behind,5,2,3,0,1,3,0,0,0,0,0,0.0,0,0,0,Zach Allen
