split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,7,2,5,0,2,3,0,0,0,0,0,0.0,0,0,0,Zach Allen
Home,7,2,5,0,2,3,0,0,0,0,0,0.0,0,0,0,Zach Allen
