Down,7,6,1,0,0,0,0,0,0,0,0,0.0,0,0,2,Player Name
2nd,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,1,Pat Surtain II
Down,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Pat Surtain II
