Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,2,Pat Surtain II
Behind,6,5,1,0,0,0,0,0,0,0,0,0.0,0,0,1,Pat Surtain II
Tied,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Pat Surtain II
