Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,7,6,1,0,0,0,0,0,0,0,0,0.0,0,0,3,Pat Surtain II
vs NFC,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Pat Surtain II
vs Div,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,3,Pat Surtain II
