Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs MIA,5,4,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Pat Surtain II
vs OAK,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,3,Pat Surtain II
vs WAS,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Pat Surtain II
