split,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,4,122,30.5,1,60,2,10,5.0,0,8,0,0,Marvin Mims Jr.
Home,4,122,30.5,1,60,2,10,5.0,0,8,0,0,Marvin Mims Jr.
