split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,2,0,2,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Elijah Garcia
Home,2,0,2,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Elijah Garcia
