Pt Diff,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
Ahead,12,37,3.1,0,6,3,7,2.3,0,7,0,0,Javonte Williams
Behind,10,33,3.3,0,11,3,12,4.0,0,9,0,0,Javonte Williams
Tied,3,26,8.7,0,15,0,0,0.0,0,0,0,0,Javonte Williams
