split,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,25,96,3.8,0,15,6,19,3.2,0,9,0,0,Javonte Williams
Home,25,96,3.8,0,15,6,19,3.2,0,9,0,0,Javonte Williams
