Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,5,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Damarri Mathis
vs NFC,6,6,0,0,0,1,0,0,0,0,0,0.0,0,0,0,Damarri Mathis
vs Div,5,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Damarri Mathis
