Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,5,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Damarri Mathis
Behind,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Damarri Mathis
Tied,3,3,0,0,1,1,0,0,0,0,0,0.0,0,0,0,Damarri Mathis
