Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Ahead,12,211,17.6,1,44,0,0,0.0,0,0,0,0,Tim Patrick
Behind,28,340,12.1,4,31,0,0,0.0,0,0,0,0,Tim Patrick
Tied,13,183,14.1,0,31,0,0,0.0,0,0,0,0,Tim Patrick
