Location,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Outdoors,47,631,13.4,4,31,0,0,0.0,0,0,0,0,Tim Patrick
Indoors,4,85,21.3,1,44,0,0,0.0,0,0,0,0,Tim Patrick
