DAY,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Sunday,45,623,13.8,5,44,0,0,0.0,0,0,0,0,Tim Patrick
Other,8,111,13.9,0,31,0,0,0.0,0,0,0,0,Tim Patrick
