Outcome,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Wins/Ties,23,370,16.1,3,44,0,0,0.0,0,0,0,0,Tim Patrick
Losses,30,364,12.1,2,31,0,0,0.0,0,0,0,0,Tim Patrick
