Surface,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Grass,45,610,13.6,3,31,0,0,0.0,0,0,0,0,Tim Patrick
Turf,8,124,15.5,2,44,0,0,0.0,0,0,0,0,Tim Patrick
