Down,16,23,212,69.6,9.2,2,0,60,5,127.4,1,1,1.0,0,1,Player Name
2nd,19,28,130,67.9,4.6,3,0,21,1,113.7,2,24,12.0,0,15,Russell Wilson
3rd,10,15,143,66.7,9.5,0,1,53,3,69.6,2,16,8.0,0,14,Russell Wilson
4th,0,0,0,0.0,0.0,0,0,0,0,0.0,2,16,8.0,0,14,Russell Wilson
Down,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,CAR,YDS,AVG,TD,LNG,Russell Wilson
