Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs OAK,3,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonathon Cooper
vs WAS,8,3,5,2,0,0,1,0,0,0,0,0.0,0,0,0,Jonathon Cooper
