Down,1,60,60.0,1,60,1,8,8.0,0,8,0,0,Player Name
2nd,1,5,5.0,0,5,1,2,2.0,0,2,0,0,Marvin Mims Jr.
3rd,2,57,28.5,0,53,0,0,0.0,0,0,0,0,Marvin Mims Jr.
Down,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Marvin Mims Jr.
