Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Frank Clark
Tied,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Frank Clark
