split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,14,10,4,0,0,0,0,0,0,0,0,0.0,0,0,0,Justin Simmons
Home,14,10,4,0,0,0,0,0,0,0,0,0.0,0,0,0,Justin Simmons
