Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,4,3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Justin Simmons
vs NFC,10,7,3,0,0,0,0,0,0,0,0,0.0,0,0,0,Justin Simmons
vs Div,4,3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Justin Simmons
