Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,2,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
Tied,3,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
