Field Position,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Own 1-20,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
Own 21-50,3,1,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
Opp 49-20,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
