Opponent,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs OAK,13,52,4.0,0,11,4,5,1.3,0,7,0,0,Javonte Williams
vs WAS,12,44,3.7,0,15,2,14,7.0,0,9,0,0,Javonte Williams
