Quarter,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
3rd,6,16,2.7,0,6,1,3,3.0,0,3,0,0,Javonte Williams
4th,4,6,1.5,0,5,4,18,4.5,0,9,0,0,Javonte Williams
