Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs OAK,3,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,D.J. Jones
vs WAS,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,D.J. Jones
