split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,D.J. Jones
Home,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,D.J. Jones
