Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Ahead,1,16,16.0,1,16,0,0,0.0,0,0,0,0,Brandon Johnson
Behind,3,81,27.0,1,50,0,0,0.0,0,0,0,0,Brandon Johnson
